"age","sex","category","population"
66,"Miehet","v2010",7
66,"Miehet","v2024",18
67,"Miehet","v1990",9
67,"Miehet","v2010",13
67,"Miehet","v2024",17
68,"Miehet","v1990",7
68,"Miehet","v2010",9
68,"Miehet","v2024",18
69,"Miehet","v1990",11
69,"Miehet","v2010",17
69,"Miehet","v2024",13
70,"Miehet","v1990",9
70,"Miehet","v2010",12
70,"Miehet","v2024",19
71,"Miehet","v1990",9
71,"Miehet","v2010",11
71,"Miehet","v2024",19
72,"Miehet","v1990",8
72,"Miehet","v2010",13
72,"Miehet","v2024",24
73,"Miehet","v1990",11
73,"Miehet","v2010",15
73,"Miehet","v2024",12
74,"Miehet","v1990",7
74,"Miehet","v2010",14
74,"Miehet","v2024",18
75,"Miehet","v1990",9
75,"Miehet","v2010",6
75,"Miehet","v2024",19
76,"Miehet","v1990",10
76,"Miehet","v2010",15
76,"Miehet","v2024",21
77,"Miehet","v1990",5
77,"Miehet","v2010",6
77,"Miehet","v2024",13
78,"Miehet","v1990",9
78,"Miehet","v2010",5
78,"Miehet","v2024",13
79,"Miehet","v1990",7
79,"Miehet","v2010",3
79,"Miehet","v2024",5
80,"Miehet","v1990",3
80,"Miehet","v2010",4
80,"Miehet","v2024",9
81,"Miehet","v1990",3
81,"Miehet","v2010",6
81,"Miehet","v2024",5
82,"Miehet","v1990",4
82,"Miehet","v2010",5
82,"Miehet","v2024",5
83,"Miehet","v1990",3
83,"Miehet","v2010",6
83,"Miehet","v2024",7
84,"Miehet","v1990",4
84,"Miehet","v2010",2
84,"Miehet","v2024",7
85,"Miehet","v1990",3
85,"Miehet","v2010",7
85,"Miehet","v2024",4
86,"Miehet","v1990",4
86,"Miehet","v2010",4
86,"Miehet","v2024",5
87,"Miehet","v1990",2
87,"Miehet","v2010",3
87,"Miehet","v2024",4
88,"Miehet","v1990",1
88,"Miehet","v2010",3
88,"Miehet","v2024",7
89,"Miehet","v1990",1
89,"Miehet","v2010",1
89,"Miehet","v2024",1
90,"Miehet","v1990",0
90,"Miehet","v2010",0
90,"Miehet","v2024",3
91,"Miehet","v1990",1
91,"Miehet","v2010",2
91,"Miehet","v2024",1
92,"Miehet","v1990",0
92,"Miehet","v2010",0
92,"Miehet","v2024",0
93,"Miehet","v1990",0
93,"Miehet","v2010",2
93,"Miehet","v2024",0
94,"Miehet","v1990",0
94,"Miehet","v2010",1
94,"Miehet","v2024",1
95,"Miehet","v1990",0
95,"Miehet","v2010",0
95,"Miehet","v2024",0
96,"Miehet","v1990",1
96,"Miehet","v2010",0
96,"Miehet","v2024",0
97,"Miehet","v1990",0
97,"Miehet","v2010",0
97,"Miehet","v2024",0
98,"Miehet","v1990",0
98,"Miehet","v2010",0
98,"Miehet","v2024",0
99,"Miehet","v1990",0
99,"Miehet","v2010",0
99,"Miehet","v2024",0
100,"Miehet","v1990",0
100,"Miehet","v2010",0
100,"Miehet","v2024",0
0,"Naiset","v1990",24
0,"Naiset","v2010",11
0,"Naiset","v2024",3
1,"Naiset","v1990",21
