"source","target","value"
"Juupajoki","Kuopio",1
"Juupajoki","Kuusamo",2
"Juupajoki","Orivesi",7
"Tampere","Juupajoki",4
"Vantaa","Juupajoki",1
"Ylitornio","Juupajoki",1
